target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2607	102.998	22.3072
Solyc05g010600.3.1	1637	1458	5	1.93629
Solyc04g017960.2.1	150	9.35544	0	0
Solyc04g045315.1.1	1611	1432	0	0
Solyc04g072770.3.1	3093	2914	12.9584	2.51084
Solyc01g015070.3.1	608	429	0	0
Solyc08g076580.2.1	758	579	0	0
Solyc08g008480.2.1	1106	927	0	0
Solyc01g014103.1.1	1428	1249	11.4916	5.19489
Solyc04g011650.3.1	2656	2477	128	29.1771
Solyc11g065557.1.1	2040	1861	0	0
Solyc04g049610.3.1	4183	4004	14	1.97421
Solyc02g087935.1.1	2256	2077	206.227	56.0619
Solyc02g085370.3.1	4460	4281	7.72345	1.01865
Solyc01g095480.3.1	2429	2250	95.908	24.0675
Solyc05g044580.3.1	629	450	0	0
Solyc02g065220.3.1	3659	3480	148.824	24.1464
Solyc04g017890.2.1	969	790	0	0
Solyc05g009620.3.1	2000	1821	0	0
Solyc07g025390.3.1	1666	1487	53	20.1244
Solyc01g090660.3.1	2518	2339	0	0
Solyc11g020875.1.1	1848	1669	0	0
Solyc12g035822.1.1	447	268	0	0
Solyc08g016080.3.1	2196	2017	165	46.1888
Solyc07g039230.2.1	345	166	0	0
Solyc06g048800.2.1	648	469	0	0
Solyc06g016800.2.1	933	754	0	0
Solyc09g090530.3.1	861	682	0	0
Solyc04g009610.2.1	353	174	5	16.2248
Solyc07g055960.2.1	123	6.43085	0	0
Solyc11g007670.2.1	3293	3114	157	28.4669
Solyc03g116240.3.1	330	151	0	0
Solyc01g109210.2.1	1641	1462	17.6583	6.8196
Solyc08g062290.3.1	1120	941	2	1.20005
Solyc11g062120.2.1	3045	2866	3	0.591022
Solyc05g006680.3.1	2159	1980	150	42.7745
Solyc07g009550.2.1	324	145	0	0
Solyc02g093650.3.1	2422	2243	0	0
Solyc06g070910.2.1	1456	1277	0	0
Solyc05g013120.3.1	1106	927	3	1.82726
Solyc12g039000.2.1	716	537	0	0
Solyc04g072750.2.1	239	60.0956	0	0
Solyc04g080560.2.1	417	238	0	0
Solyc06g007110.3.1	3157	2978	46	8.72151
Solyc03g005480.3.1	1679	1500	0	0
Solyc07g062550.3.1	2545	2366	0	0
Solyc05g005210.3.1	1678	1499	12	4.52
Solyc08g016440.3.1	989	810	3	2.0912
Solyc01g049640.2.1	399	220	0	0
Solyc08g028915.1.1	360	181	0	0
Solyc09g083240.3.1	647	468	1	1.20646
Solyc09g056410.2.1	678	499	0	0
Solyc03g059050.2.1	1051	872	9	5.82753
Solyc04g054660.2.1	555	376	0.860936	1.29283
Solyc10g080940.2.1	2583	2404	395.58	92.909
Solyc04g005680.3.1	1979	1800	305.457	95.8156
Solyc05g051290.3.1	1387	1208	48	22.4353
Solyc04g050440.3.1	1797	1618	1	0.348964
Solyc01g059853.1.1	516	337	3	5.02632
Solyc03g078580.3.1	543	364	0	0
Solyc01g106930.3.1	562	383	0	0
Solyc07g005590.3.1	4253	4074	300.765	41.6836
Solyc06g007680.2.1	2063	1884	32	9.5902
Solyc01g089960.3.1	1197	1018	0	0
Solyc03g006120.3.1	1661	1482	19	7.23876
Solyc07g054000.3.1	701	522	0	0
Solyc02g032360.3.1	521	342	0	0
Solyc02g089140.2.1	447	268	1	2.1068
Solyc03g062910.3.1	5017	4838	23	2.68423
Solyc08g014020.3.1	624	445	11	13.957
Solyc06g043113.1.1	1455	1276	0	0
Solyc01g150007.1.1	444	265	0	0
Solyc09g031543.1.1	4368	4189	2	0.269574
Solyc08g067670.3.1	656	477	0	0
Solyc10g084180.2.1	3498	3319	179	30.4512
Solyc07g041510.2.1	3769	3590	417	65.5843
Solyc03g118770.3.1	1385	1206	0	0
Solyc07g024015.1.1	8967	8788	0	0
Solyc07g009360.2.1	363	184	0	0
Solyc03g082950.3.1	878	699	0	0
Solyc11g022440.2.1	258	79.0036	0	0
Solyc03g019970.3.1	1779	1600	0	0
Solyc01g006790.2.1	731	552	3	3.0686
Solyc05g018220.2.1	558	379	0	0
Solyc01g107220.2.1	1167	988	0	0
Solyc05g051340.2.1	2629	2450	24	5.531
Solyc09g075840.3.1	328	149	0	0
Solyc03g058370.2.1	1017	838	0	0
Solyc05g007250.3.1	1074	895	153.626	96.9172
Solyc04g048980.3.1	553	374	0	0
Solyc01g011091.1.1	8096	7917	64.0974	4.57128
Solyc04g051680.3.1	2052	1873	0	0
Solyc04g082200.2.1	1157	978	2468	1424.84
Solyc11g044632.1.1	686	507	0	0
Solyc06g007430.2.1	2112	1933	227	66.306
Solyc08g036560.2.1	741	562	6	6.028
Solyc01g090340.2.1	988	809	0	0
Solyc08g076720.3.1	4114	3935	746	107.042
Solyc02g068930.3.1	1005	826	9	6.15207
Solyc01g095170.2.1	922	743	156	118.548
Solyc07g018400.3.1	174	14.6185	0	0
Solyc07g006300.3.1	2508	2329	129	31.2737
Solyc09g072910.2.1	1314	1135	0	0
Solyc08g075320.3.1	2532	2353	5	1.19979
Solyc03g044273.1.1	5441	5262	0	0
Solyc09g005730.3.1	735	556	11	11.1706
Solyc04g079830.2.1	2469	2290	10	2.4656
Solyc07g041820.2.1	3138	2959	0	0
Solyc01g044510.2.1	547	368	0	0
Solyc03g071853.1.1	894	715	0	0
Solyc01g095070.3.1	869	690	355	290.494
Solyc06g007890.3.1	568	389	0	0
Solyc09g055610.2.1	105	5.29865	0	0
Solyc04g009590.3.1	568	389	0	0
Solyc02g077240.3.1	2165	1986	118	33.5476
Solyc03g083100.3.1	1862	1683	5	1.67743
Solyc08g006645.1.1	406	227	0	0
Solyc04g007825.1.1	1329	1150	1	0.490976
Solyc03g044060.3.1	3067	2888	0	0
Solyc06g008980.3.1	1496	1317	4	1.71488
Solyc10g050757.1.1	1464	1285	0	0
Solyc01g094710.2.1	359	180	0	0
Solyc05g017830.2.1	232	53.2554	0	0
Solyc11g027940.2.1	462	283	0	0
Solyc03g034130.3.1	840	661	0	0
Solyc04g011990.2.1	3364	3185	0	0
Solyc07g017560.3.1	2822	2643	0	0
Solyc01g005380.2.1	1818	1639	14.5109	4.99889
Solyc12g005820.2.1	826	647	1	0.872678
Solyc03g116170.3.1	1234	1055	90	48.1669
Solyc04g016010.3.1	2019	1840	34.9999	10.7401
Solyc12g098590.2.1	2992	2813	12	2.40863
Solyc03g082575.1.1	2097	1918	79.3655	23.3637
Solyc09g020070.2.1	1401	1222	0	0
Solyc07g017330.2.1	730	551	0	0
Solyc01g021700.2.1	1146	967	0	0
Solyc09g055550.3.1	1685	1506	0	0
Solyc01g014537.1.1	654	475	4	4.75472
Solyc03g098750.3.1	1586	1407	126	50.5632
Solyc06g054230.3.1	1995	1816	26	8.08381
Solyc09g010340.2.1	1272	1093	0	0
Solyc06g043140.3.1	1035	856	0	0
Solyc03g034165.1.1	1203	1024	1	0.55139
Solyc01g012640.2.1	561	382	0	0
Solyc05g023660.2.1	1239	1060	0	0
Solyc11g008140.2.1	1826	1647	5	1.7141
Solyc02g062930.3.1	1567	1388	30	12.2037
Solyc08g066400.2.1	953	774	0	0
Solyc10g036690.2.1	93	4.74468	0	0
Solyc09g011710.3.1	939	760	10	7.42925
Solyc12g096860.2.1	2683	2504	0	0
Solyc02g063040.3.1	1276	1097	12	6.17637
Solyc06g076840.2.1	2830	2651	0	0
Solyc01g056940.2.1	756	577	328	320.964
Solyc06g054620.3.1	855	676	3	2.50572
Solyc01g056270.2.1	701	522	0	0
Solyc01g020230.3.1	2531	2352	2.29984	0.552101
Solyc01g014107.1.1	766	587	4	3.84752
Solyc06g052140.2.1	885	706	0	0
Solyc05g052990.3.1	658	479	9	10.6088
Solyc06g033810.2.1	609	430	0	0
Solyc01g009690.2.1	2586	2407	2	0.469151
Solyc02g078420.2.1	309	130	0	0
Solyc07g041240.2.1	468	289	3	5.86114
Solyc12g038770.2.1	729	550	0	0
Solyc06g052080.3.1	2780	2601	80	17.3663
Solyc11g020740.2.1	90	4.62459	0	0
Solyc01g014180.3.1	976	797	1209	856.498
Solyc12g038350.2.1	872	693	0	0
Solyc03g031650.3.1	738	559	4	4.04024
Solyc11g072410.2.1	2582	2403	20.7714	4.88056
Solyc06g008100.3.1	663	484	14	16.3321
Solyc09g083445.1.1	618	439	244.751	314.788
Solyc06g064740.3.1	358	179	0	0
Solyc02g062260.2.1	226	47.5399	0	0
Solyc11g006650.2.1	2753	2574	0	0
Solyc10g008330.3.1	689	510	0	0
Solyc10g036640.2.1	240	61.0822	0	0
Solyc11g063580.2.1	291	112	0	0
Solyc01g111080.3.1	23222	23043	135.217	3.31322
Solyc04g071540.3.1	3007	2828	130	25.9551
Solyc12g062470.2.1	485	306	1	1.84517
Solyc06g050840.3.1	977	798	23	16.2736
Solyc10g009530.3.1	1365	1186	0	0
Solyc07g052480.3.1	3041	2862	600	118.37
Solyc01g008410.2.1	2163	1984	0	0
Solyc11g072650.2.1	1699	1520	0	0
Solyc01g101080.2.1	666	487	1	1.15939
Solyc06g011490.3.1	1249	1070	27	14.2475
Solyc09g020130.3.1	1655	1476	118.513	45.3353
Solyc11g012600.2.1	1028	849	0	0
Solyc03g096645.1.1	4058	3879	441.008	64.1926
Solyc02g070420.2.1	1007	828	0	0
Solyc01g090710.3.1	1946	1767	2	0.639075
Solyc05g013230.2.1	342	163	2	6.92789
