target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2607	52.1217	9.21157
Solyc05g010600.3.1	1637	1458	3	0.948024
Solyc04g017960.2.1	150	9.35544	0	0
Solyc04g045315.1.1	1611	1432	0	0
Solyc04g072770.3.1	3093	2914	0	0
Solyc01g015070.3.1	608	429	0	0
Solyc08g076580.2.1	758	579	0	0
Solyc08g008480.2.1	1106	927	0	0
Solyc01g014103.1.1	1428	1249	0	0
Solyc04g011650.3.1	2656	2477	307	57.1042
Solyc11g065557.1.1	2040	1861	0	0
Solyc04g049610.3.1	4183	4004	8	0.920559
Solyc02g087935.1.1	2256	2077	66.9568	14.853
Solyc02g085370.3.1	4460	4281	11	1.18387
Solyc01g095480.3.1	2429	2250	52.0408	10.6566
Solyc05g044580.3.1	629	450	0	0
Solyc02g065220.3.1	3659	3480	28.5756	3.78331
Solyc04g017890.2.1	969	790	0	0
Solyc05g009620.3.1	2000	1821	2	0.50603
Solyc07g025390.3.1	1666	1487	23	7.12644
Solyc01g090660.3.1	2518	2339	0	0
Solyc11g020875.1.1	1848	1669	0	0
Solyc12g035822.1.1	447	268	0	0
Solyc08g016080.3.1	2196	2017	67	15.3047
Solyc07g039230.2.1	345	166	0	0
Solyc06g048800.2.1	648	469	1.12831	1.10844
Solyc06g016800.2.1	933	754	0	0
Solyc09g090530.3.1	861	682	0	0
Solyc04g009610.2.1	353	174	0	0
Solyc07g055960.2.1	123	6.43085	0	0
Solyc11g007670.2.1	3293	3114	114	16.8672
Solyc03g116240.3.1	330	151	0	0
Solyc01g109210.2.1	1641	1462	27	8.50888
Solyc08g062290.3.1	1120	941	1	0.489628
Solyc11g062120.2.1	3045	2866	25	4.01902
Solyc05g006680.3.1	2159	1980	105	24.4332
Solyc07g009550.2.1	324	145	0	0
Solyc02g093650.3.1	2422	2243	0	0
Solyc06g070910.2.1	1456	1277	0	0
Solyc05g013120.3.1	1106	927	3	1.49107
Solyc12g039000.2.1	716	537	0	0
Solyc04g072750.2.1	239	60.0956	0	0
Solyc04g080560.2.1	417	238	0	0
Solyc06g007110.3.1	3157	2978	67	10.3659
Solyc03g005480.3.1	1679	1500	0	0
Solyc07g062550.3.1	2545	2366	3	0.584201
Solyc05g005210.3.1	1678	1499	41	12.602
Solyc08g016440.3.1	989	810	0	0
Solyc01g049640.2.1	399	220	0	0
Solyc08g028915.1.1	360	181	0	0
Solyc09g083240.3.1	647	468	3	2.95346
Solyc09g056410.2.1	678	499	0	0
Solyc03g059050.2.1	1051	872	9	4.75534
Solyc04g054660.2.1	555	376	0	0
Solyc10g080940.2.1	2583	2404	199.098	38.1583
Solyc04g005680.3.1	1979	1800	169.607	43.4138
Solyc05g051290.3.1	1387	1208	155	59.1181
Solyc04g050440.3.1	1797	1618	8	2.27807
Solyc01g059853.1.1	516	337	0	0
Solyc03g078580.3.1	543	364	0	0
Solyc01g106930.3.1	562	383	0	0
Solyc07g005590.3.1	4253	4074	180.935	20.4625
Solyc06g007680.2.1	2063	1884	14	3.42376
Solyc01g089960.3.1	1197	1018	10	4.52593
Solyc03g006120.3.1	1661	1482	0	0
Solyc07g054000.3.1	701	522	0	0
Solyc02g032360.3.1	521	342	0	0
Solyc02g089140.2.1	447	268	0	0
Solyc03g062910.3.1	5017	4838	22	2.09514
Solyc08g014020.3.1	624	445	22.1946	22.9796
Solyc06g043113.1.1	1455	1276	0	0
Solyc01g150007.1.1	444	265	0	0
Solyc09g031543.1.1	4368	4189	0	0
Solyc08g067670.3.1	656	477	0	0
Solyc10g084180.2.1	3498	3319	173	24.0157
Solyc07g041510.2.1	3769	3590	202	25.9246
