target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2607	125	18.1656
Solyc05g010600.3.1	1637	1458	0	0
Solyc04g017960.2.1	150	9.35544	0	0
Solyc04g045315.1.1	1611	1432	0	0
Solyc04g072770.3.1	3093	2914	22	2.86031
Solyc01g015070.3.1	608	429	0	0
Solyc08g076580.2.1	758	579	0	0
Solyc08g008480.2.1	1106	927	0	0
Solyc01g014103.1.1	1428	1249	14	4.24664
Solyc04g011650.3.1	2656	2477	483	73.8756
Solyc11g065557.1.1	2040	1861	0	0
Solyc04g049610.3.1	4183	4004	3	0.283862
Solyc02g087935.1.1	2256	2077	46.8698	8.54941
Solyc02g085370.3.1	4460	4281	9.93015	0.878801
Solyc01g095480.3.1	2429	2250	80.8245	13.6094
Solyc05g044580.3.1	629	450	0	0
Solyc02g065220.3.1	3659	3480	108.65	11.8285
Solyc04g017890.2.1	969	790	0	0
Solyc05g009620.3.1	2000	1821	0	0
Solyc07g025390.3.1	1666	1487	56	14.2678
Solyc01g090660.3.1	2518	2339	0	0
Solyc11g020875.1.1	1848	1669	0	0
Solyc12g035822.1.1	447	268	0	0
Solyc08g016080.3.1	2196	2017	154	28.9264
Solyc07g039230.2.1	345	166	0	0
Solyc06g048800.2.1	648	469	2.02809	1.63831
Solyc06g016800.2.1	933	754	5.77053	2.89951
Solyc09g090530.3.1	861	682	3	1.66654
Solyc04g009610.2.1	353	174	0	0
Solyc07g055960.2.1	123	6.43085	0	0
Solyc11g007670.2.1	3293	3114	148	18.0062
Solyc03g116240.3.1	330	151	0	0
Solyc01g109210.2.1	1641	1462	20.4501	5.29942
Solyc08g062290.3.1	1120	941	9.61224	3.87003
Solyc11g062120.2.1	3045	2866	49	6.47738
Solyc05g006680.3.1	2159	1980	210	40.1822
Solyc07g009550.2.1	324	145	0	0
Solyc02g093650.3.1	2422	2243	0	0
Solyc06g070910.2.1	1456	1277	0	0
Solyc05g013120.3.1	1106	927	3	1.22609
Solyc12g039000.2.1	716	537	0	0
Solyc04g072750.2.1	239	60.0956	0	0
Solyc04g080560.2.1	417	238	0	0
Solyc06g007110.3.1	3157	2978	147	18.7013
Solyc03g005480.3.1	1679	1500	5	1.26287
Solyc07g062550.3.1	2545	2366	31	4.96394
Solyc05g005210.3.1	1678	1499	70	17.692
Solyc08g016440.3.1	989	810	0	0
Solyc01g049640.2.1	399	220	0	0
Solyc08g028915.1.1	360	181	2	4.18631
Solyc09g083240.3.1	647	468	6	4.85719
Solyc09g056410.2.1	678	499	0	0
Solyc03g059050.2.1	1051	872	5	2.17237
Solyc04g054660.2.1	555	376	0	0
Solyc10g080940.2.1	2583	2404	291.376	45.9196
Solyc04g005680.3.1	1979	1800	238.244	50.1451
Solyc05g051290.3.1	1387	1208	311	97.5378
Solyc04g050440.3.1	1797	1618	4	0.936615
Solyc01g059853.1.1	516	337	0	0
Solyc03g078580.3.1	543	364	0	0
Solyc01g106930.3.1	562	383	0	0
Solyc07g005590.3.1	4253	4074	269.714	25.082
Solyc06g007680.2.1	2063	1884	19	3.82078
Solyc01g089960.3.1	1197	1018	8	2.9773
Solyc03g006120.3.1	1661	1482	0	0
Solyc07g054000.3.1	701	522	0	0
Solyc02g032360.3.1	521	342	0	0
Solyc02g089140.2.1	447	268	0	0
Solyc03g062910.3.1	5017	4838	20	1.56619
Solyc08g014020.3.1	624	445	67.752	57.6822
Solyc06g043113.1.1	1455	1276	0	0
Solyc01g150007.1.1	444	265	0	0
Solyc09g031543.1.1	4368	4189	1	0.0904418
Solyc08g067670.3.1	656	477	1	0.794257
Solyc10g084180.2.1	3498	3319	459	52.3944
Solyc07g041510.2.1	3769	3590	303	31.9763
Solyc03g118770.3.1	1385	1206	0	0
Solyc07g024015.1.1	8967	8788	2	0.0862223
Solyc07g009360.2.1	363	184	0	0
Solyc03g082950.3.1	878	699	3	1.62601
Solyc11g022440.2.1	258	79.0036	0	0
Solyc03g019970.3.1	1779	1600	0	0
Solyc01g006790.2.1	731	552	19	13.0405
Solyc05g018220.2.1	558	379	0	0
Solyc01g107220.2.1	1167	988	0	0
Solyc05g051340.2.1	2629	2450	8	1.2371
Solyc09g075840.3.1	328	149	0	0
Solyc03g058370.2.1	1017	838	0	0
Solyc05g007250.3.1	1074	895	102.539	43.4055
Solyc04g048980.3.1	553	374	0	0
Solyc01g011091.1.1	8096	7917	58.2704	2.78848
Solyc04g051680.3.1	2052	1873	4	0.809099
Solyc04g082200.2.1	1157	978	5714	2213.51
Solyc11g044632.1.1	686	507	0	0
Solyc06g007430.2.1	2112	1933	282	55.271
Solyc08g036560.2.1	741	562	4	2.69652
Solyc01g090340.2.1	988	809	5	2.34154
Solyc08g076720.3.1	4114	3935	146	14.0568
Solyc02g068930.3.1	1005	826	6	2.75202
Solyc01g095170.2.1	922	743	6	3.05944
Solyc07g018400.3.1	174	14.6185	0	0
Solyc07g006300.3.1	2508	2329	1867	303.707
Solyc09g072910.2.1	1314	1135	0	0
Solyc08g075320.3.1	2532	2353	19.597	3.15535
Solyc03g044273.1.1	5441	5262	6	0.431996
Solyc09g005730.3.1	735	556	131	89.264
Solyc04g079830.2.1	2469	2290	135	22.3346
Solyc07g041820.2.1	3138	2959	3	0.38411
Solyc01g044510.2.1	547	368	0	0
Solyc03g071853.1.1	894	715	0	0
Solyc01g095070.3.1	869	690	1199	658.339
Solyc06g007890.3.1	568	389	0	0
Solyc09g055610.2.1	105	5.29865	0	0
